epi     R       len     high
10      -212    89      -192
20      15      400     15
30      36      320     226
40      96      414     251
50      86      481     107
60      61      467     214
70      36      315     239
80      12      450     236
90      85      379     206
100     22      478     256
110     263     488     263
120     155     485     235
130     114     481     216
140     61      470     283
150     128     333     246
160     224     245     290
170     245     366     285
180     222     363     272
190     65      367     274
200     27      278     293
210     258     333     290
220     70      270     274
230     -58     270     307
240     2       375     304
250     23      334     295
260     232     291     282
270     162     379     294
280     284     297     294
290     30      246     300
300     276     318     295
310     238     268     295
320     282     260     283
330     291     298     291
340     243     268     293
350     250     297     281
360     259     280     290
370     278     245     312
380     282     297     282
390     148     271     291
400     262     318     288
410     -48     204     278
420     16      236     282
430     251     121     251
440     287     300     314
450     264     234     315
460     30      137     259
470     46      239     273
480     71      146     281
490     164     325     295
500     196     242     309
510     301     240     301
520     284     236     296
530     7       195     292
