epi     R       len     high
10      -582    83      -108
20      221     423     268
30      218     126     218
40      -60     379     167
50      -212    469     88
60      45      500     122
70      -57     431     95
80      -121    347     221
90      137     352     271
100     64      285     268
110     190     338     271
120     209     364     285
130     143     417     266
140     245     407     277
150     -53     420     298
160     178     359     276
170     236     404     306
180     78      421     290
190     262     388     273
200     261     415     275
210     238     330     299
220     263     295     291
230     247     364     292
240     267     298     267
250     272     316     298
260     290     399     291
270     87      345     278
280     260     354     292
290     42      138     269
300     266     260     288
310     245     348     305
320     257     332     303
330     256     387     281
340     218     242     296
350     300     311     300
360     224     356     298
370     128     274     289
380     265     360     265
390     57      274     304
400     258     335     304
410     184     338     299
420     251     336     302
430     264     253     299
440     291     302     311
