epi     R       len     high
10      -154    95      -105
20      1       290     1
30      -7      500     63
40      -93     479     83
50      -122    455     69
60      135     472     231
70      -27     474     215
80      -62     381     273
90      99      400     227
100     113     393     244
110     55      387     127
120     52      490     274
130     80      444     295
140     260     464     260
150     38      365     190
160     69      333     296
170     87      446     257
180     156     322     293
190     311     329     311
200     240     398     283
210     263     386     294
220     233     326     269
230     1       278     313
240     248     311     282
250     250     289     293
260     243     411     299
270     252     390     295
280     158     395     281
290     61      313     298
300     273     267     282
310     92      356     291
320     253     386     284
330     19      213     276
340     144     243     287
350     54      268     296
360     299     321     321
370     265     305     312
380     57      264     279
390     280     294     299
400     272     338     272
410     271     288     307
420     250     277     276
430     43      225     254
440     258     293     284
450     1       200     282
460     281     267     281
470     194     311     283
